Type,Trans Date,Post Date,Description,Amount,Category,Memo,
Sale,1/4/2018,1/5/2018,LEODAS KITCHEN AND PIE SH,-25.74,y,,
Sale,1/3/2018,1/5/2018,MILAGROS FOOD COMPANY,-75.55,y,,
Sale,1/3/2018,1/5/2018,SIPMEUPTOWNPAIA,-17.11,y,,
Sale,1/3/2018,1/5/2018,NAPILI MARKET #1004,-23.92,y,,
Sale,1/3/2018,1/5/2018,KAAHUMANU FOODLAND #20,-14.13,y,,
Sale,1/3/2018,1/5/2018,NAPILI MARKET #1004,-19.77,y,,
Sale,1/3/2018,1/5/2018,SHELL OIL 10006040009,-37.34,y,,
Sale,1/3/2018,1/5/2018,COURTYARD BY MARRIOTT,-13.4,y,,
Sale,1/3/2018,1/5/2018,RACHAEL RAY ART COLLECTIO,-57.3,y,,
Payment,1/4/2018,1/4/2018,Payment Thank You - Web,5000,y,,
Sale,1/3/2018,1/4/2018,OKIS SEAFOOD CORNER,-19.07,y,,
Sale,1/2/2018,1/4/2018,KAAHUMANU FOODLAND #20,-48.93,y,,
Sale,1/2/2018,1/4/2018,MAUI LANI GOLF COURSE,-6.77,y,,
Sale,1/3/2018,1/3/2018,HANA FARMS,-34.27,y,,
Sale,1/2/2018,1/3/2018,KOHO GRILL AND BAR,-51.65,y,,
Sale,1/2/2018,1/3/2018,OKIS SEAFOOD CORNER,-37.48,y,,
Sale,1/1/2018,1/3/2018,DA KITCHEN EXPRESS,-45.41,y,,
Sale,1/1/2018,1/3/2018,HAWAII GIFT AND CRAFT,-12.48,y,,
Sale,1/1/2018,1/3/2018,COURTYARD BY MARRIOTT,-2.6,,,
Sale,1/1/2018,1/3/2018,ABC #51 HAWAII,-70.82,y,,
Sale,1/1/2018,1/3/2018,HAWAII GIFT AND CRAFT,-26,y,,
Sale,1/1/2018,1/2/2018,SQ *MAUI GELATO,-8.25,y,,
Sale,12/31/2017,1/2/2018,LAS PINATAS OF MAUI,-48.31,y,,
