Type,Trans Date,Post Date,Description,Amount,Category,Memo,,,,,,,,,
8/6/2021,8/6/2021,AUTOMATIC PAYMENT - THANK,,Payment,70,,,,,,,,,,
8/2/2021,8/3/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
7/27/2021,7/27/2021,TRANSCRIPT SERVICES,Professional Services,Sale,-7.5,y,,,,,,,,,
7/25/2021,7/27/2021,FASTRAK CSC,Travel,Sale,-85,,,,,,,,,,
7/25/2021,7/27/2021,SHELL OIL 57444679609,Gas,Sale,-52.22,,,,,,,,,,
7/17/2021,7/19/2021,KING`S SMOKE SHOP &amp; CLOTH,Shopping,Sale,-66.88,y,,,,,,,,,
7/11/2021,7/12/2021,CHEVRON 0380899,Gas,Sale,-50.23,y,,,,,,,,,
7/10/2021,7/11/2021,FASTRAK CSC,Travel,Sale,-70,,,,,,,,,,
7/9/2021,7/9/2021,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-48.36,,,,,,,,,,
7/9/2021,7/9/2021,Payment Thank You - Web,,Payment,2000,,,,,,,,,,
7/7/2021,7/7/2021,AUTOMATIC PAYMENT - THANK,,Payment,82,,,,,,,,,,
7/4/2021,7/7/2021,POGGIO,Food & Drink,Sale,-70.51,y,,,,,,,,,
7/5/2021,7/7/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-55,y,,,,,,,,,
7/5/2021,7/7/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-43.42,y,,,,,,,,,
7/4/2021,7/5/2021,BRIDGEWAY GAS INC,Gas,Sale,-50.76,,,,,,,,,,
7/3/2021,7/5/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-55,y,,,,,,,,,
7/1/2021,7/2/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
6/30/2021,7/1/2021,PATRICIA KERRIGAN,Health & Wellness,Sale,-60,,,,,,,,,,
6/29/2021,7/1/2021,BOUNDARY OAK GOLF COURSE,Entertainment,Sale,-37,y,,,,,,,,,
6/27/2021,6/29/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-62.93,y,,,,,,,,,
6/26/2021,6/28/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-53,,,,,,,,,,
6/19/2021,6/22/2021,CITY OF WALNUT CREEK,Travel,Sale,-4,,,,,,,,,,
6/19/2021,6/22/2021,CITY OF WALNUT CREEK,Travel,Sale,-0.5,,,,,,,,,,
6/20/2021,6/21/2021,TST* HAVANA - WALNUT CREE,Food & Drink,Sale,-121.01,y,,,,,,,,,
6/17/2021,6/18/2021,FASTRAK CSC,Travel,Sale,-70,,,,,,,,,,
6/13/2021,6/15/2021,BODEGA BAY OYSTER COMPANY,Groceries,Sale,-58.2,,,,,,,,,,
6/13/2021,6/14/2021,CHEVRON 0092661,Gas,Sale,-49.43,,,,,,,,,,
6/12/2021,6/14/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-53,,,,,,,,,,
6/10/2021,6/10/2021,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-48.86,,,,,,,,,,
6/6/2021,6/8/2021,THE HOME DEPOT 634,Home,Sale,-16.5,,,,,,,,,,
6/5/2021,6/7/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-53,,,,,,,,,,
5/31/2021,6/2/2021,SHELL OIL 57444679609,Gas,Sale,-43.97,,,,,,,,,,
6/1/2021,6/2/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
5/28/2021,5/28/2021,Payment Thank You - Web,,Payment,1500,,,,,,,,,,
5/27/2021,5/28/2021,SHERWIN WILLIAMS 708193,Home,Sale,-54.53,y,,,,,,,,,
5/27/2021,5/28/2021,SHERWIN WILLIAMS 708193,Home,Sale,-123.02,y,,,,,,,,,
5/25/2021,5/27/2021,THE HOME DEPOT 634,Home,Sale,-269.43,y,,,,,,,,,
5/25/2021,5/27/2021,THE HOME DEPOT 1092,Home,Sale,-57.22,,,,,,,,,,
5/26/2021,5/27/2021,CONTRA COSTA TRANSFER STA,Bills & Utilities,Sale,-54.5,y,,,,,,,,,
5/26/2021,5/27/2021,SHERWIN WILLIAMS 708193,Home,Sale,-300.28,y,,,,,,,,,
5/21/2021,5/23/2021,CVS/PHARMACY #09815,Health & Wellness,Sale,-18.62,,,,,,,,,,
5/16/2021,5/18/2021,SILK ROAD,Food & Drink,Sale,-72.46,y,,,,,,,,,
5/13/2021,5/14/2021,FASTRAK CSC,Travel,Sale,-70,,,,,,,,,,
5/10/2021,5/10/2021,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-47.92,,,,,,,,,,
5/8/2021,5/9/2021,PATRICIA KERRIGAN,Health & Wellness,Sale,-55,y,,,,,,,,,
5/7/2021,5/9/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-17.55,,,,,,,,,,
5/3/2021,5/4/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
5/2/2021,5/2/2021,Payment Thank You - Web,,Payment,400,,,,,,,,,,
5/1/2021,5/2/2021,HABIT - WALNUT CRK2 #53,Food & Drink,Sale,-30.25,y,,,,,,,,,
5/1/2021,5/2/2021,CHEVRON 0094640,Gas,Sale,-49.81,,,,,,,,,,
4/28/2021,4/30/2021,OPA AUTHENTIC GREEK CUISI,Food & Drink,Sale,-45.97,y,,,,,,,,,
4/25/2021,4/27/2021,FASTRAK CSC,Travel,Sale,-70,,,,,,,,,,
4/21/2021,4/23/2021,BB DINER WALNUT CREEK #27,Food & Drink,Sale,-49.94,y,,,,,,,,,
4/18/2021,4/20/2021,CUN - SAN MATEO,Food & Drink,Sale,-53.11,,,,,,,,,,
4/14/2021,4/15/2021,FASTRAK CSC,Travel,Sale,-45,,,,,,,,,,
4/11/2021,4/13/2021,SILK ROAD,Food & Drink,Sale,-87.65,y,,,,,,,,,
4/9/2021,4/9/2021,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-39.01,,,,,,,,,,
4/7/2021,4/7/2021,AUTOMATIC PAYMENT - THANK,,Payment,35,,,,,,,,,,
4/3/2021,4/5/2021,SAFEWAY #0936,Groceries,Sale,-80.85,y,,,,,,,,,
4/3/2021,4/5/2021,MIXED GRAIN.,Food & Drink,Sale,-50.41,y,,,,,,,,,
4/1/2021,4/4/2021,IMA`S KUSINA,Food & Drink,Sale,-20.32,y,,,,,,,,,
4/3/2021,4/4/2021,PARKSMART - MT. DIABLO,Travel,Sale,-6,,,,,,,,,,
4/1/2021,4/4/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-32.9,y,,,,,,,,,
4/2/2021,4/4/2021,SHELL OIL 57444212401,Gas,Sale,-49.05,,,,,,,,,,
4/1/2021,4/2/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
3/28/2021,3/30/2021,CITY OF WALNUT CREEK,Travel,Sale,-1,,,,,,,,,,
3/28/2021,3/29/2021,THE GOLF MART,Shopping,Sale,-200,y,,,,,,,,,
3/27/2021,3/28/2021,FASTRAK CSC,Travel,Sale,-45,,,,,,,,,,
3/25/2021,3/28/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-45.63,y,,,,,,,,,
3/22/2021,3/24/2021,JM HEALTH BUS OFFICE,Health & Wellness,Sale,-100,y,,,,,,,,,
3/22/2021,3/23/2021,CVS/PHARMACY #09815,Health & Wellness,Sale,-87.86,,,,,,,,,,
3/19/2021,3/21/2021,CLEARME.COM *CLEAR,Personal,Sale,-179,y,,,,,,,,,
3/20/2021,3/21/2021,CVS/PHARMACY #09815,Health & Wellness,Sale,-93.7,y,,,,,,,,,
3/20/2021,3/21/2021,MARRIOTT SANTA CLARA,Travel,Sale,-193.01,,,,,,,,,,
3/20/2021,3/21/2021,3481 EL POLLO LOCO,Food & Drink,Sale,-23.93,y,,,,,,,,,
3/18/2021,3/19/2021,seafood,Travel,Sale,-45,,,,,,,,,,
3/17/2021,3/19/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-61.63,y,,,,,,,,,
3/13/2021,3/15/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-30.54,y,,,,,,,,,
3/12/2021,3/14/2021,BB DINER WALNUT CREEK #27,Food & Drink,Sale,-28.68,,,,,,,,,,
3/10/2021,3/10/2021,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-14.83,,,,,,,,,,
