Type,Trans Date,Post Date,Description,Amount,Category,Memo,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,ic,1529 sars,794+735,,
,,,IC,230 sars,,,
Payment,5/4/2017,5/4/2017,Payment Thank You - Web,3400,null,null,
Sale,5/2/2017,5/4/2017,CROWN PLAZA RIYADH MINHAL,-177.75,null,null,y
Sale,5/2/2017,5/4/2017,CARIBOU COFFE,-22.94,null,null,y
Payment,5/2/2017,5/2/2017,Payment Thank You - Web,700,null,null,
Sale,5/1/2017,5/4/2017,CROWN PLAZA RIYADH MINHAL,-61.08,null,null,y
Sale,5/1/2017,5/3/2017,INTER CONTINENTAL,-238.13,null,null,y
Fee,5/1/2017,5/1/2017,TRANSACTION FEE,-10,null,null,y
Sale,4/30/2017,5/2/2017,COOPER CHANDNI REST.,-29.61,null,null,y
Sale,4/30/2017,5/2/2017,SAUDIA AIR  0657997697930,-203,null,null,y
Cash Advance,4/30/2017,5/1/2017,KING ABDUAZIZ/KING ABDUAZ,-133.36,null,null,y
Sale,4/29/2017,5/1/2017,INTER CONTINENTAL,-1579.85,null,null,y
Sale,4/29/2017,5/1/2017,INTER CONTINENTAL,-14.67,null,null,y
Sale,4/29/2017,4/30/2017,Soul Kitchen and Restaura,-64.55,null,null,y
Sale,4/28/2017,5/2/2017,AL-SANBOOK RESTAURANT,-59.75,null,null,y
Sale,4/28/2017,4/30/2017,STARBUCKS,-21.22,null,null,y
Sale,4/28/2017,4/30/2017,CAFE LILOU,-29.97,null,null,y
Sale,4/28/2017,4/30/2017,MASSIMO DUTTI - SEEF MAL,-23.87,null,null,y
Sale,4/28/2017,4/30/2017,INTER CONTINENTAL,-24.01,null,null,y
Fee,4/28/2017,4/28/2017,TRANSACTION FEE,-10,null,null,y
Sale,4/27/2017,4/30/2017,STEAK HOUSE,-37.34,null,null,y
Cash Advance,4/27/2017,4/28/2017,KING ABDUAZIZ/KING ABDUAZ,-133.36,null,null,y
Sale,4/26/2017,4/28/2017,MALABAR GOLD &amp;DIAMONDS,-636.11,null,null,y
Sale,4/26/2017,4/28/2017,FINE FOOD CO,-22.67,null,null,y
Sale,4/26/2017,4/28/2017,MALABAR GOLD &amp;DIAMONDS,-1360.23,null,null,y
Sale,4/26/2017,4/28/2017,INTER CONTINENTAL,-28,null,null,y
Sale,4/25/2017,4/26/2017,Soul Kitchen and Restaura,-61.07,null,null,y
Sale,4/25/2017,4/27/2017,INTER CONTINENTAL,-48,null,null,y
Sale,4/24/2017,4/26/2017,INTER CONTINENTAL,-65.34,null,null,y
Sale,4/23/2017,4/25/2017,UNITED      0162925265332,-300,null,null,y
Sale,4/23/2017,4/25/2017,INTER CONTINENTAL,-6.67,null,null,y
Sale,4/23/2017,4/25/2017,UNITED      0162345137822,-229,null,null,?
,4/22/2017,,butcher shop,135 sar,,,y
Sale,4/22/2017,4/24/2017,INTER CONTINENTAL,-1647.56,null,null,y
Sale,4/22/2017,4/24/2017,INTER CONTINENTAL,-6.67,null,null,y
Sale,4/22/2017,4/24/2017,INTER CONTINENTAL,-28,null,null,y
Sale,4/21/2017,4/23/2017,INTER CONTINENTAL,-6.67,null,null,y
